Date,inflation,inflation.expectations,interest,gdp.log,output_gap_HP,covid.indicator
2010-01-01,2.987590622108671,2.766666666666667,0.5,10.463631816421362,-4.365862917237173,0.0
2010-04-01,3.485768366261688,3.3333333333333335,0.5793650793650794,10.49700292867097,-2.07157630842012,0.0
2010-07-01,3.3617345394894915,3.3333333333333335,1.7445165945165968,10.520205475964607,-0.8093555430578547,0.0
2010-10-01,1.6911011940124565,3.1333333333333333,2.8751984126984134,10.532033897130413,-0.6948837695597732,0.0
2011-01-01,3.157471949563284,3.7983333333333333,3.4349637681159435,10.543623039389706,-0.6092974498027814,0.0
2011-04-01,5.028751600730441,3.9,4.7421356421356435,10.557888839255769,-0.2551898141112119,0.0
2011-07-01,2.6187026096336163,3.233333333333333,5.25,10.564282246440678,-0.6812719620230112,0.0
2011-10-01,5.253779988059892,2.966666666666667,5.25,10.585797704147456,0.41825384965186174,0.0
2012-01-01,3.7031099986624127,3.0666666666666664,5.03409090909091,10.606142478377645,1.4208934389310812,0.0
2012-04-01,0.8429424129112961,3.1999999999999997,5.0,10.624508122718971,2.252319973795025,0.0
2012-07-01,0.8195352654402299,2.9333333333333336,5.0,10.632249425806323,2.0536420685411727,0.0
2012-10-01,3.3675329379304397,3.0,5.0,10.638168238387255,1.7092668487492801,0.0
2013-01-01,0.8967596307384529,3.0,5.0,10.64662488131626,1.6581649244001184,0.0
2013-04-01,0.06371286532469433,2.9,5.0,10.654960987547321,1.636369823642525,0.0
2013-07-01,4.182502871282923,2.8333333333333335,5.0,10.661084180405002,1.4354777586058631,0.0
2013-10-01,4.182558071998654,2.7999999999999994,4.682575757575757,10.664633114271698,1.0191653160621428,0.0
2014-01-01,5.345183097669448,2.983333333333333,4.335714285714286,10.667496882689148,0.5752558251185036,0.0
2014-04-01,6.517699955853429,3.033333333333333,4.0,10.675494084386768,0.6838861553266185,0.0
2014-07-01,3.5421093213205967,3.0666666666666664,3.6208333333333336,10.671254125453139,-0.3940856227361067,0.0
2014-10-01,6.503317457513291,3.033333333333333,3.0454545454545467,10.68194261245918,0.05539118089519235,0.0
2015-01-01,1.0293887305185212,2.9,3.0,10.68839660271206,0.11375863332521163,0.0
